roll_no,name,section,password,email,gender,contact,dob,address
2111cs030123,Shivas ,data science,Shivas123,2111cs030123@mallareddyuniversity.ac.in,Male,9072361854,26-03-2002,"Plot No. 741, Boduppal, Hyderabad, India"
2111cs030124,Ritu Mehra,data science,Ritu123,2111cs030124@mallareddyuniversity.ac.in,Female,6315972840,11-09-2003,"Plot No. 852, Lingampally, Hyderabad, India"
2111cs030125,Shubham Pandey,data science,Shubham123,2111cs030125@mallareddyuniversity.ac.in,Male,8792106435,23-05-2004,"Plot No. 258, Manikonda, Hyderabad, India"
2111cs030126,Jaya Patel,data science,Jaya123,2111cs030126@mallareddyuniversity.ac.in,Female,5467109283,13-11-2004,"Plot No. 654, Bachupally, Hyderabad, India"
2111cs030127,Kiran Sharma,data science,Kiran123,2111cs030127@mallareddyuniversity.ac.in,Male,9082476351,25-06-2002,"Plot No. 963, Patancheru, Hyderabad, India"
2111cs030128,Sushma Singh,data science,Sushma123,2111cs030128@mallareddyuniversity.ac.in,Female,6579482130,01-03-2003,"Plot No. 741, Kothapet, Hyderabad, India"
2111cs030129,Vijay Verma,data science,Vijay123,2111cs030129@mallareddyuniversity.ac.in,Male,9315604782,17-09-2004,"Plot No. 852, Attapur, Hyderabad, India"
2111cs030130,Vishal Gupta,data science,Vishal123,2111cs030130@mallareddyuniversity.ac.in,Male,7642150398,30-05-2002,"Plot No. 147, Sainikpuri, Hyderabad, India"
2111cs030131,Kathik,data science,Kathik123,2111cs030131@mallareddyuniversity.ac.in,Male,8492365710,06-08-2003,"Plot No. 369, Uppal, Hyderabad, India"
2111cs030132,Srinivas goud,data science,Srinivas123,2111cs030132@mallareddyuniversity.ac.in,Male,5389172064,22-12-2004,"Plot No. 963, Nizampet, Hyderabad, India"
2111cs030133,Suresh Choudhary,data science,Suresh123,2111cs030133@mallareddyuniversity.ac.in,Male,7093285614,09-02-2002,"Plot No. 741, Miyapur, Hyderabad, India"
2111cs030134,P.Suresh ,data science,P.Suresh123,2111cs030134@mallareddyuniversity.ac.in,Male,8761954320,28-07-2003,"Plot No. 852, Kompally, Hyderabad, India"
2111cs030135,Nidhi Patel,data science,Nidhi123,2111cs030135@mallareddyuniversity.ac.in,Female,9142078536,03-04-2004,"Plot No. 258, Gachibowli, Hyderabad, India"
2111cs030136,Harish Rao,data science,Harish123,2111cs030136@mallareddyuniversity.ac.in,Male,6058132794,19-10-2002,"Plot No. 654, Banjara Hills, Hyderabad, India"
2111cs030137,Rekha Sharma,data science,Rekha123,2111cs030137@mallareddyuniversity.ac.in,Female,8354912670,31-01-2003,"Plot No. 963, Jubilee Hills, Hyderabad, India"
2111cs030138,Meenu Singh,data science,Meenu123,2111cs030138@mallareddyuniversity.ac.in,Female,9827504136,17-08-2004,"Plot No. 741, Ameerpet, Hyderabad, India"
2111cs030139,Rajeev Verma,data science,Rajeev123,2111cs030139@mallareddyuniversity.ac.in,Male,7164290835,26-03-2002,"Plot No. 852, Madhapur, Hyderabad, India"
2111cs030140,Anita Gupta,data science,Anita123,2111cs030140@mallareddyuniversity.ac.in,Female,8435671920,11-09-2003,"Plot No. 147, Hitech City, Hyderabad, India"
2111cs030141,Tejasri,data science,Tejasri123,2111cs030141@mallareddyuniversity.ac.in,Female,5974283106,23-05-2004,"Plot No. 369, Kondapur, Hyderabad, India"
2111cs030142,Rani Kumar,data science,Rani123,2111cs030142@mallareddyuniversity.ac.in,Female,8246735109,29-01-2002,"Plot No. 963, Begumpet, Hyderabad, India"
2111cs030143,Kunal Mehra,data science,Kunal123,2111cs030143@mallareddyuniversity.ac.in,Male,6731958204,14-08-2003,"Plot No. 741, Miyapur, Hyderabad, India"
2111cs030144,Mona Pandey,data science,Mona123,2111cs030144@mallareddyuniversity.ac.in,Female,9084573621,27-03-2004,"Plot No. 852, Gachibowli, Hyderabad, India"
2111cs030145,Kunal Patel,data science,Kunal123,2111cs030145@mallareddyuniversity.ac.in,Male,7421830596,02-09-2002,"Plot No. 258, Banjara Hills, Hyderabad, India"
2111cs030146,Vivek Rao,data science,Vivek123,2111cs030146@mallareddyuniversity.ac.in,Male,8690475213,18-01-2003,"Plot No. 654, Jubilee Hills, Hyderabad,India"
2111cs030147,Preeti Sharma,data science,Preeti123,2111cs030147@mallareddyuniversity.ac.in,Female,9237514608,10-07-2004,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030148,Arun Singh,data science,Arun123,2111cs030148@mallareddyuniversity.ac.in,Male,6354107928,16-05-2002,"Plot No. 456, Banjara Hills, Hyderabad, India"
2111cs030149,Rashmi Verma,data science,Rashmi123,2111cs030149@mallareddyuniversity.ac.in,Female,8179064352,31-12-2003,"Plot No. 789, Hitech City, Hyderabad, India"
2111cs030150,Rajendra Gupta,data science,Rajendra123,2111cs030150@mallareddyuniversity.ac.in,Male,7596213804,13-11-2004,"Plot No. 234, Gachibowli, Hyderabad, India"
2111cs030151,Seema Joshi,data science,Seema123,2111cs030151@mallareddyuniversity.ac.in,Female,9458263710,24-06-2002,"Plot No. 567, Kondapur, Hyderabad, India"
2111cs030152,Shalini Kumar,data science,Shalini123,2111cs030152@mallareddyuniversity.ac.in,Female,6109478253,07-03-2003,"Plot No. 890, Madhapur, Hyderabad, India"
2111cs030153,Rajesh Mehra,data science,Rajesh123,2111cs030153@mallareddyuniversity.ac.in,Male,8297531460,23-09-2004,"Plot No. 123, Ameerpet, Hyderabad, India"
2111cs030154,Sudhir Pandey,data science,Sudhir123,2111cs030154@mallareddyuniversity.ac.in,Male,6834127950,05-05-2002,"Plot No. 456, Miyapur, Hyderabad, India"
2111cs030155,Sapna Patel,data science,Sapna123,2111cs030155@mallareddyuniversity.ac.in,Female,9745382016,21-12-2003,"Plot No. 789, Kukatpally, Hyderabad, India"
2111cs030156,Neha Rao,data science,Neha123,2111cs030156@mallareddyuniversity.ac.in,Female,5392018674,10-02-2004,"Plot No. 234, Begumpet, Hyderabad, India"
2111cs030157,Ashish Sharma,data science,Ashish123,2111cs030157@mallareddyuniversity.ac.in,Male,7916354028,10-02-2003,"Plot No. 567, Mehdipatnam, Hyderabad, India"
2111cs030158,Geeta Singh,data science,Geeta123,2111cs030158@mallareddyuniversity.ac.in,Female,8629510473,25-08-2003,"Plot No. 890, Nampally, Hyderabad, India"
2111cs030159,Alok Verma,data science,Alok123,2111cs030159@mallareddyuniversity.ac.in,Male,6154892073,07-04-2003,"Plot No. 123, Charminar, Hyderabad, India"
2111cs030160,Sonia Gupta,data science,Sonia123,2111cs030160@mallareddyuniversity.ac.in,Female,8236541097,15-12-2003,"Plot No. 456, Secunderabad, Hyderabad, India"
2111cs030161,Rohini Joshi,data science,Rohini123,2111cs030161@mallareddyuniversity.ac.in,Female,9540726381,18-06-2003,"Plot No. 789, Habsiguda, Hyderabad, India"
2111cs030162,Santosh Kumar,data science,Santosh123,2111cs030162@mallareddyuniversity.ac.in,Male,7293180564,21-02-2003,"Plot No. 234, Uppal, Hyderabad, India"
2111cs030163,Sonam Mehra,data science,Sonam123,2111cs030163@mallareddyuniversity.ac.in,Female,8402756193,29-10-2003,"Plot No. 567, Dilsukhnagar, Hyderabad, India"
2111cs030164,Amit Pandey,data science,Amit123,2111cs030164@mallareddyuniversity.ac.in,Male,5684273019,03-08-2003,"Plot No. 890, Malakpet, Hyderabad, India"
2111cs030165,Priyanka Patel,data science,Priyanka123,2111cs030165@mallareddyuniversity.ac.in,Female,9074281365,12-04-2003,"Plot No. 123, Tarnaka, Hyderabad, India"
2111cs030166,Anita Rao,data science,Anita123,2111cs030166@mallareddyuniversity.ac.in,Female,7259314806,30-12-2003,"Plot No. 456, Kompally, Hyderabad, India"
2111cs030167,Arun Sharma,data science,Arun123,2111cs030167@mallareddyuniversity.ac.in,Male,8463195720,06-10-2002,"Plot No. 789, Shamirpet, Hyderabad, India"
2111cs030168,Kirti Singh,data science,Kirti123,2111cs030168@mallareddyuniversity.ac.in,Female,5846702139,23-06-2003,"Plot No. 234, Ghatkesar, Hyderabad, India"
2111cs030169,Naveen Verma,data science,Naveen123,2111cs030169@mallareddyuniversity.ac.in,Male,9375184260,27-02-2003,"Plot No. 567, Boduppal, Hyderabad, India"
2111cs030170,Manisha Gupta,data science,Manisha123,2111cs030170@mallareddyuniversity.ac.in,Female,7064593128,11-11-2003,"Plot No. 890, Lingampally, Hyderabad, India"
2111cs030171,Vishwas,data science,Vishwas123,2111cs030171@mallareddyuniversity.ac.in,Male,8213940756,14-07-2003,"Plot No. 123, Manikonda, Hyderabad, India"
2111cs030172,Sanjay Kumar,data science,Sanjay123,2111cs030172@mallareddyuniversity.ac.in,Male,6925178034,17-03-2003,"Plot No. 456, Bachupally, Hyderabad, India"
2111cs030173,Shikha Mehra,data science,Shikha123,2111cs030173@mallareddyuniversity.ac.in,Female,9546032187,17-12-2003,"Plot No. 789, Patancheru, Hyderabad, India"
2111cs030174,Vijay Pandey,data science,Vijay123,2111cs030174@mallareddyuniversity.ac.in,Male,6018374295,02-09-2003,"Plot No. 234, Kothapet, Hyderabad, India"
2111cs030175,Anjali Patel,data science,Anjali123,2111cs030175@mallareddyuniversity.ac.in,Female,8132956470,13-06-2003,"Plot No. 567, Attapur, Hyderabad, India"
2111cs030176,Akshay Rao,data science,Akshay123,2111cs030176@mallareddyuniversity.ac.in,Male,6974328150,19-03-2003,"Plot No. 890, Sainikpuri, Hyderabad, India"
2111cs030177,Anju Sharma,data science,Anju123,2111cs030177@mallareddyuniversity.ac.in,Female,9028475631,08-12-2003,"Plot No. 123, Uppal, Hyderabad, India"
2111cs030178,Rajesh Verma,data science,Rajesh123,2111cs030178@mallareddyuniversity.ac.in,Male,7625104983,24-08-2003,"Plot No. 456, Nizampet, Hyderabad, India"
2111cs030179,Nisha Gupta,data science,Nisha123,2111cs030179@mallareddyuniversity.ac.in,Female,8946172305,16-07-2003,"Plot No. 789, Miyapur, Hyderabad, India"
2111cs030180,Srinivas Shetty,data science,Srinivas123,2111cs030180@mallareddyuniversity.ac.in,Male,6319850274,05-02-2003,"Plot No. 234, Kompally, Hyderabad, India"
2111cs030181,Karthik Pillai,it,Karthik123,2111cs030181@mallareddyuniversity.ac.in,Male,7401925638,28-11-2003,"Plot No. 567, Gachibowli, Hyderabad, India"
2111cs030182,Ananya Rajan,it,Ananya123,2111cs030182@mallareddyuniversity.ac.in,Female,8675094213,12-09-2003,"Plot No. 890, Banjara Hills, Hyderabad, India"
2111cs030183,Deepa Nair,it,Deepa123,2111cs030183@mallareddyuniversity.ac.in,Female,9257483106,31-05-2003,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030184,Ganesh Iyer,it,Ganesh123,2111cs030184@mallareddyuniversity.ac.in,Male,6794810523,18-02-2003,"Plot No. 456, Ameerpet, Hyderabad, India"
2111cs030185,Krishna Chowdhury,it,Krishna123,2111cs030185@mallareddyuniversity.ac.in,Male,8036452197,07-11-2003,"Plot No. 789, Madhapur, Hyderabad, India"
2111cs030186,Shalini Panicker,it,Shalini123,2111cs030186@mallareddyuniversity.ac.in,Female,5369721480,22-07-2003,"Plot No. 234, Hitech City, Hyderabad, India"
2111cs030187,Rajesh Sharma,it,Rajesh123,2111cs030187@mallareddyuniversity.ac.in,Male,9865702431,10-04-2003,"Plot No. 567, Kondapur, Hyderabad, India"
2111cs030188,Arun Reddy,it,Arun123,2111cs030188@mallareddyuniversity.ac.in,Male,7540193628,16-12-2003,"Plot No. 890, Begumpet, Hyderabad, India"
2111cs030189,Kavitha Menon,it,Kavitha123,2111cs030189@mallareddyuniversity.ac.in,Female,8297130564,01-09-2003,"Plot No. 123, Miyapur, Hyderabad, India"
2111cs030190,Manoj Sundaram,it,Manoj123,2111cs030190@mallareddyuniversity.ac.in,Male,6129854370,20-06-2003,"Plot No. 456, Gachibowli, Hyderabad, India"
2111cs030191,Suresh Prasad,it,Suresh123,2111cs030191@mallareddyuniversity.ac.in,Male,9473082516,26-03-2003,"Plot No. 789, Banjara Hills, Hyderabad, India"
2111cs030192,Vijay Khan,it,Vijay123,2111cs030192@mallareddyuniversity.ac.in,Male,7304685291,13-12-2003,"Plot No. 234, Jubilee Hills, Hyderabad, India"
2111cs030193,Priya Chatterjee,it,Priya123,2111cs030193@mallareddyuniversity.ac.in,Female,8654190273,28-08-2003,"Plot No. 567, Ameerpet, Hyderabad, India"
2111cs030194,Meera Kumar,it,Meera123,2111cs030194@mallareddyuniversity.ac.in,Female,5946837021,20-07-2003,"Plot No. 890, Madhapur, Hyderabad, India"
2111cs030195,Divya Gowda,it,Divya123,2111cs030195@mallareddyuniversity.ac.in,Female,9083452716,04-02-2003,"Plot No. 123, Hitech City, Hyderabad, India"
2111cs030196,Shanthi Rao,it,Shanthi123,2111cs030196@mallareddyuniversity.ac.in,Female,7295148603,23-11-2003,"Plot No. 456, Kondapur, Hyderabad, India"
2111cs030197,Shyam Murthy,it,Shyam123,2111cs030197@mallareddyuniversity.ac.in,Male,8314697250,09-09-2003,"Plot No. 789, Begumpet, Hyderabad, India"
2111cs030198,Prakash Singh,it,Prakash123,2111cs030198@mallareddyuniversity.ac.in,Male,6051829743,25-05-2003,"Plot No. 234, Miyapur, Hyderabad, India"
2111cs030199,Saraswati Nair,it,Saraswati123,2111cs030199@mallareddyuniversity.ac.in,Female,9470521863,12-02-2003,"Plot No. 567, Gachibowli, Hyderabad, India"
2111cs030200,Anand Rajan,it,Anand123,2111cs030200@mallareddyuniversity.ac.in,Male,7835426109,31-10-2003,"Plot No. 890, Banjara Hills, Hyderabad, India"
2111cs030201,Anjali Nair,it,Anjali123,2111cs030201@mallareddyuniversity.ac.in,Female,6129704385,16-07-2003,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030202,Krishna Murthy,it,Krishna123,2111cs030202@mallareddyuniversity.ac.in,Male,9457826310,08-04-2003,"Plot No. 456, Ameerpet, Hyderabad, India"
2111cs030203,Priyanka Gowda,it,Priyanka123,2111cs030203@mallareddyuniversity.ac.in,Female,7086354921,24-12-2003,"Plot No. 789, Madhapur, Hyderabad, India"
2111cs030204,Sumanth Shetty,it,Sumanth123,2111cs030204@mallareddyuniversity.ac.in,Male,8264379051,01-09-2003,"Plot No. 234, Hitech City, Hyderabad, India"
2111cs030205,Rahul Sharma,it,Rahul123,2111cs030205@mallareddyuniversity.ac.in,Male,5496231708,18-06-2003,"Plot No. 567, Kondapur, Hyderabad, India"
2111cs030206,Anushka Gupta,it,Anushka123,2111cs030206@mallareddyuniversity.ac.in,Female,9347012856,23-03-2003,"Plot No. 890, Begumpet, Hyderabad, India"
2111cs030207,Kiran Kumar,it,Kiran123,2111cs030207@mallareddyuniversity.ac.in,Male,6072941538,12-12-2003,"Plot No. 123, Miyapur, Hyderabad, India"
2111cs030208,Rita Mehra,it,Rita123,2111cs030208@mallareddyuniversity.ac.in,Female,8593274106,27-08-2003,"Plot No. 456, Gachibowli, Hyderabad, India"
2111cs030209,Vikram Rao,it,Vikram123,2111cs030209@mallareddyuniversity.ac.in,Male,7468012539,19-07-2003,"Plot No. 789, Banjara Hills, Hyderabad, India"
2111cs030210,Neha Kapoor,it,Neha123,2111cs030210@mallareddyuniversity.ac.in,Female,9381576240,03-02-2003,"Plot No. 234, Jubilee Hills, Hyderabad, India"
2111cs030211,Amita Singh,it,Amita123,2111cs030211@mallareddyuniversity.ac.in,Female,6719824350,22-11-2003,"Plot No. 567, Ameerpet, Hyderabad, India"
2111cs030212,Prakash Mehta,it,Prakash123,2111cs030212@mallareddyuniversity.ac.in,Male,8234170659,06-09-2003,"Plot No. 890, Madhapur, Hyderabad, India"
2111cs030213,Rajeshwari Iyer,it,Rajeshwari123,2111cs030213@mallareddyuniversity.ac.in,Female,5682917043,26-05-2003,"Plot No. 123, Hitech City, Hyderabad, India"
2111cs030214,Manoj Kumar,it,Manoj123,2111cs030214@mallareddyuniversity.ac.in,Male,9037241586,10-02-2003,"Plot No. 456, Kondapur, Hyderabad, India"
2111cs030215,Sneha Nair,it,Sneha123,2111cs030215@mallareddyuniversity.ac.in,Female,7158392046,09-07-2002,"Plot No. 789, Begumpet, Hyderabad, India"
2111cs030216,Vishnu Menon,it,Vishnu123,2111cs030216@mallareddyuniversity.ac.in,Male,8260413975,16-03-2004,"Plot No. 234, Miyapur, Hyderabad, India"
2111cs030217,Anita Choudhary,it,Anita123,2111cs030217@mallareddyuniversity.ac.in,Female,5329784160,29-11-2002,"Plot No. 567, Gachibowli, Hyderabad, India"
2111cs030218,Alok Verma,it,Alok123,2111cs030218@mallareddyuniversity.ac.in,Male,9874306152,07-08-2004,"Plot No. 890, Banjara Hills, Hyderabad, India"
2111cs030219,Swati Desai,it,Swati123,2111cs030219@mallareddyuniversity.ac.in,Female,7401659238,25-07-2002,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030220,Sanjay Gupta,it,Sanjay123,2111cs030220@mallareddyuniversity.ac.in,Male,6198530274,14-04-2004,"Plot No. 456, Ameerpet, Hyderabad, India"
2111cs030221,Shalini Sharma,it,Shalini123,2111cs030221@mallareddyuniversity.ac.in,Female,9257430816,04-12-2002,"Plot No. 789, Madhapur, Hyderabad, India"
2111cs030222,Ajay Kapoor,it,Ajay123,2111cs030222@mallareddyuniversity.ac.in,Male,7068952413,19-08-2004,"Plot No. 234, Hitech City, Hyderabad, India"
2111cs030223,Jyoti Patel,it,Jyoti123,2111cs030223@mallareddyuniversity.ac.in,Female,8392560174,30-06-2002,"Plot No. 567, Kondapur, Hyderabad, India"
2111cs030224,Rakesh Verma,it,Rakesh123,2111cs030224@mallareddyuniversity.ac.in,Male,5968130427,15-03-2004,"Plot No. 890, Begumpet, Hyderabad, India"
2111cs030225,Anand Menon,it,Anand123,2111cs030225@mallareddyuniversity.ac.in,Male,9042673581,29-11-2002,"Plot No. 123, Miyapur, Hyderabad, India"
2111cs030226,Madhavi Rao,it,Madhavi123,2111cs030226@mallareddyuniversity.ac.in,Female,7816234095,09-07-2002,"Plot No. 456, Gachibowli, Hyderabad, India"
2111cs030227,Rajiv Deshmukh,it,Rajiv123,2111cs030227@mallareddyuniversity.ac.in,Male,6389152704,16-03-2004,"Plot No. 789, Banjara Hills, Hyderabad, India"
2111cs030228,Sarita Khanna,it,Sarita123,2111cs030228@mallareddyuniversity.ac.in,Female,9703854162,29-11-2002,"Plot No. 234, Jubilee Hills, Hyderabad, India"
2111cs030229,Aman Malhotra,it,Aman123,2111cs030229@mallareddyuniversity.ac.in,Male,7250346189,07-08-2004,"Plot No. 567, Ameerpet, Hyderabad, India"
2111cs030230,Smita Bhatia,it,Smita123,2111cs030230@mallareddyuniversity.ac.in,Female,8369152047,25-07-2002,"Plot No. 890, Madhapur, Hyderabad, India"
2111cs030231,Ashok Rao,it,Ashok123,2111cs030231@mallareddyuniversity.ac.in,Male,9172368405,25-06-2002,"Plot No. 123, Hitech City, Hyderabad, India"
2111cs030232,Anjali Saxena,it,Anjali123,2111cs030232@mallareddyuniversity.ac.in,Female,8627014935,01-03-2003,"Plot No. 456, Kondapur, Hyderabad, India"
2111cs030233,Mukesh Srinivasan,it,Mukesh123,2111cs030233@mallareddyuniversity.ac.in,Male,7503682149,17-09-2004,"Plot No. 789, Begumpet, Hyderabad, India"
2111cs030234,Rachna Nair,it,Rachna123,2111cs030234@mallareddyuniversity.ac.in,Female,6935714028,30-05-2002,"Plot No. 234, Miyapur, Hyderabad, India"
2111cs030235,Vijay Deshpande,it,Vijay123,2111cs030235@mallareddyuniversity.ac.in,Male,8295173064,06-08-2003,"Plot No. 567, Gachibowli, Hyderabad, India"
2111cs030236,Shikha Kapoor,it,Shikha123,2111cs030236@mallareddyuniversity.ac.in,Female,8169457023,22-12-2004,"Plot No. 890, Banjara Hills, Hyderabad, India"
2111cs030237,Vinod Menon,it,Vinod123,2111cs030237@mallareddyuniversity.ac.in,Male,9543021768,09-02-2002,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030238,Asha Sharma,it,Asha123,2111cs030238@mallareddyuniversity.ac.in,Female,6278419035,28-07-2003,"Plot No. 456, Ameerpet, Hyderabad, India"
2111cs030239,Anirudh Iyer,it,Anirudh123,2111cs030239@mallareddyuniversity.ac.in,Male,8935704126,03-04-2004,"Plot No. 789, Madhapur, Hyderabad, India"
2111cs030240,Rani Joshi,it,Rani123,2111cs030240@mallareddyuniversity.ac.in,Female,7056493812,19-10-2002,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030241,Shikha Kapoor,it,Shikha123,2111cs030241@mallareddyuniversity.ac.in,Female,9246073581,31-01-2003,"Plot No. 456, Banjara Hills, Hyderabad, India"
2111cs030242,Aman Malhotra,it,Aman123,2111cs030242@mallareddyuniversity.ac.in,Male,7694021583,17-08-2004,"Plot No. 789, Hitech City, Hyderabad, India"
2111cs030243,Kavita Khanna,it,Kavita123,2111cs030243@mallareddyuniversity.ac.in,Female,8159764032,26-03-2002,"Plot No. 321, Gachibowli, Hyderabad, India"
2111cs030244,Sujata Rao,it,Sujata123,2111cs030244@mallareddyuniversity.ac.in,Female,9482673105,17-12-2003,"Plot No. 654, Kondapur, Hyderabad, India"
2111cs030245,Rashmi Verma,it,Rashmi123,2111cs030245@mallareddyuniversity.ac.in,Female,7230198564,02-09-2003,"Plot No. 987, Madhapur, Hyderabad, India"
2111cs030246,Sumanth Shetty,it,Sumanth123,2111cs030246@mallareddyuniversity.ac.in,Male,8640213795,13-06-2003,"Plot No. 147, Ameerpet, Hyderabad, India"
2111cs030247,Jasmin Reddy,it,Jasmin123,2111cs030247@mallareddyuniversity.ac.in,Female,7418935062,19-03-2003,"Plot No. 258, Miyapur, Hyderabad, India"
2111cs030248,Vinod Menon,it,Vinod123,2111cs030248@mallareddyuniversity.ac.in,Male,6893240175,08-12-2003,"Plot No. 369, Kukatpally, Hyderabad, India"
2111cs030249,Naveen Verma,it,Naveen123,2111cs030249@mallareddyuniversity.ac.in,Male,9328461705,24-08-2003,"Plot No. 852, Begumpet, Hyderabad, India"
2111cs030250,Smita Bhatia,it,Smita123,2111cs030250@mallareddyuniversity.ac.in,Female,7596812304,16-07-2003,"Plot No. 963, Jubilee Hills, Hyderabad, India"
